Name	Total	Godot Consultant	Coding Consultant	Blender & 3D Consultant	Border Fire Shader	Sky Shader	Smoke/Dust Shader	Shader Consultant	Playtesting	Game Research	Character Modeling Consultant	Physics movement	Player Movement	Character Creator	Gear Spawns	Gear Abilities	Infinite plane design	Lava Movement	Camera	Audio Design	Visual Design	Asset Design	Seamless Tiling	Debug Tools	Debug	Rubber Duck	Game Concepts	Eagle Eyes	Eagle Brain	Moral Support	Hydration
Dungeon Martian	50	10	3	4				1	8	2		1		1				1	2	1	1	3			8		1	2		1	
Bartsss	25	1		5						4		1				1	1	1	2	1	2	1			4			1			
rulric	20			1				1	1									1			7	3			2	1				2	1
Shawn S	12			2				1						1	3						2				1				1	1	
ZorahXIV	14								1					2																2	9
Kieguy	13			3																	3	1	3			1		1		1	
Rogi's Tutorials	13			8				2								1					1									1	
InsaneAlphaBeta	12										2							1		3	2									2	2
camwin	7	1										3												1	1					1	
Patrick Vaughn	6	2	1															2							1						
Precipire	11			1																											10
frankfrodzz	6																														6
Dormouse	5																								5						
P3p33	4			1					2																					1	
Blitzar	4		1															2				1									
Roger Random	3																														3
Mykorii	3	1																													2
Lord Overflow	2									2																					
froggy	4												1							2	1										
Yui Kinomoto @arlez80	2				2																										
Timeless	1									1																					
Jonas Newhouse	1									1																					
parappa	1												1																		
Joe Schmoe	1																									1					
R0fael	1																	1													
Steamplayerfrmyt	1																	1													
mathdork	1																									1					
LeaderJord	1	1																													
ColorauGuiyino	1				1																										
legandaryskate	1																														1
catkeyy__	1																														1
krzmig	1					1																									
memo1918	1						1																								
Sable Spirit	1	1																													
TimmyGobbles	3	3																													
DerekNFriendz	1															1															
d4v1d_h76	1																														1
Awab Abd elmouhsin	1													1																	
Doteyes	1																								1						
Cute Games Club	1																											1			
nicbah	3														1										2						
noyainrain	2																			2											
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
	0																														
